A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.637579461,4.714285714,-12.93593842,-3.241968062,-0.690702798,-3.241968062
0.637579461,4.928571429,-12.38946779,-3.170101089,-0.601387248,-3.170101089
0.637579461,5.142857143,-12.8997289,-3.101883844,-0.530840151,-3.101883844
0.637579461,5.357142857,-13.28680815,-3.06544918,-0.449282646,-3.06544918
0.637579461,5.571428571,-13.96610103,-3.066939553,-0.404667875,-3.066939553
0.637579461,5.785714286,-14.6497225,-3.090773564,-0.392193038,-3.090773564
0.637579461,6,-15.20468108,-3.123733602,-0.431837583,-3.123733602
0.655388944,3,-7.772535039,-2.749220054,-1.833717903,-2.749220054
0.655388944,3.214285714,-8.213696081,-3.185847924,-1.320089026,-3.185847924
0.655388944,3.428571429,-18.3911334,-3.68335311,-0.982728716,-3.68335311
0.655388944,3.642857143,-26.87109147,-3.842076951,-0.741513192,-3.842076951
